ID_PACIENTE,NOMBRE,TELEFONO,CORREO,ID_SEXO_BIOLOGICO,ID_TIPO_DOCUMENTO
48273615,María Rodríguez,3158742965,maria.rodriguez@mail.com,1,1
12548793,Carlos Gómez,3125698741,carlos.gomez@protonmail.com,2,1
89321547,Ana García,3201478523,ana.garcia@yahoo.com,1,2
74125896,Juan Martínez,3119856320,juan.martinez@gmail.com,2,1
36985214,Luisa López,3147852096,luisa.lopez@hotmail.com,1,1
58741236,Pedro Hernández,3236547890,pedro.hernandez@outlook.com,2,3
91236587,Sofía Díaz,3185201478,sofia.diaz@mail.com,1,1
65412398,Andrés Pérez,3251234567,andres.perez@company.com,2,4
23659874,Carolina Silva,3198765432,carolina.silva@live.com,1,2
87541236,Diego Torres,3120456789,diego.torres@domain.com,2,1
15896324,Valentina Rojas,3135792468,valentina.rojas@mail.com,1,1
74213685,Camilo Vargas,3246801357,camilo.vargas@gmail.com,2,1
95128743,Daniela Mendoza,3179246801,daniela.mendoza@yahoo.com,1,2
36521478,Javier Castro,3213579246,javier.castro@protonmail.com,2,1
78912365,Paula Núñez,3146802579,paula.nunez@hotmail.com,1,1
21458796,Ricardo Ortega,3224680135,ricardo.ortega@outlook.com,2,3
63254178,Isabella Jiménez,3191357924,isabella.jimenez@mail.com,1,1
87596321,Felipe Morales,3257913579,felipe.morales@company.com,2,4
41236987,Laura Herrera,3182468013,laura.herrera@live.com,1,2
69874512,Santiago Peña,3125791357,santiago.pena@domain.com,2,1
12365487,Manuela Reyes,3168024680,manuela.reyes@mail.com,1,1
98732145,Alejandro Ríos,3235792468,alejandro.rios@gmail.com,2,1
45698712,Mariana Guerrero,3157913579,mariana.guerrero@yahoo.com,1,2
32178965,Óscar Ramírez,3246802468,oscar.ramirez@protonmail.com,2,1
78965412,Antonia Medina,3179246802,antonia.medina@hotmail.com,1,1
23456789,David Suárez,3224681357,david.suarez@outlook.com,2,3
87654321,Valeria Paredes,3191358024,valeria.paredes@mail.com,1,1
54321678,Nicolás Cordoba,3257914680,nicolas.cordoba@company.com,2,4
19876543,Adriana Espinosa,3182469135,adriana.espinosa@live.com,1,2
76543219,Cristian Ospina,3125792468,cristian.ospina@domain.com,2,1
11223344,Gabriela Acosta,3168025791,gabriela.acosta@mail.com,1,1
99887766,Esteban Molina,3235793579,esteban.molina@gmail.com,2,1
44556677,Juliana Rangel,3157914680,juliana.rangel@yahoo.com,1,2
33445566,Samuel Zapata,3246803579,samuel.zapata@protonmail.com,2,1
22334455,Claudia Sandoval,3179247913,claudia.sandoval@hotmail.com,1,1
55667788,Hernán Fuentes,3224682468,hernan.fuentes@outlook.com,2,3
66778899,Natalia Beltrán,3191359135,natalia.beltran@mail.com,1,1
77889900,Leonardo Valencia,3257915791,leonardo.valencia@company.com,2,4
88990011,Ximena Giraldo,3182460246,ximena.giraldo@live.com,1,2
99001122,Mateo Quintero,3125793579,mateo.quintero@domain.com,2,1
10020030,Daniela Franco,3168026802,daniela.franco@mail.com,1,1
20030040,Tomás Arenas,3235794680,tomas.arenas@gmail.com,2,1
30040050,Sara Mejía,3157915791,sara.mejia@yahoo.com,1,2
40050060,Julio Cárdenas,3246804680,julio.cardenas@protonmail.com,2,1
50060070,Elena Lopera,3179248024,elena.lopera@hotmail.com,1,1
60070080,Miguel Sosa,3224683579,miguel.sosa@outlook.com,2,3
70080090,Victoria Mora,3191350246,victoria.mora@mail.com,1,1
80090100,Rafael Palacios,3257916802,rafael.palacios@company.com,2,4
90100110,Silvia Escobar,3182461357,silvia.escobar@live.com,1,2
10110120,Óscar Duarte,3125794680,oscar.duarte@domain.com,2,1
20230240,Lucía Velásquez,3168027913,lucia.velasquez@mail.com,1,1
30350360,Daniel Restrepo,3235795791,daniel.restrepo@gmail.com,2,1
40470480,Samantha Cardona,3157916802,samantha.cardona@yahoo.com,1,2
50590500,Alexander Gutiérrez,3246805791,alexander.gutierrez@protonmail.com,2,1
60610620,Andrea Montoya,3179249135,andrea.montoya@hotmail.com,1,1
70730740,Sebastián Jaramillo,3224684680,sebastian.jaramillo@outlook.com,2,3
80850860,Alexandra Parra,3191351357,alexandra.parra@mail.com,1,1
90970980,Guillermo Roa,3257917913,guillermo.roa@company.com,2,4
11091100,Angela Villamil,3182462468,angela.villamil@live.com,1,2
12112120,Humberto Caycedo,3125795791,humberto.caycedo@domain.com,2,1
23233230,Mónica Pacheco,3168028024,monica.pacheco@mail.com,1,1
34354340,Gustavo Bejarano,3235796802,gustavo.bejarano@gmail.com,2,1
45475450,Catalina Uribe,3157917913,catalina.uribe@yahoo.com,1,2
56596560,Alonso Fajardo,3246806802,alonso.fajardo@protonmail.com,2,1
67617670,Lina Salazar,3179240246,lina.salazar@hotmail.com,1,1
78738780,Ernesto Trujillo,3224685791,ernesto.trujillo@outlook.com,2,3
89859890,Gabriella Osorio,3191352468,gabriella.osorio@mail.com,1,1
90970991,Simón Cortés,3257918024,simon.cortes@company.com,2,4
10191011,Camila Bernal,3182463579,camila.bernal@live.com,1,2
11211121,Rodrigo Ibáñez,3125796802,rodrigo.ibanez@domain.com,2,1
12321231,Marina Ángel,3168029135,marina.angel@mail.com,1,1
13431341,Facundo Delgado,3235797913,facundo.delgado@gmail.com,2,1
14541451,Elena Bustamante,3157918024,elena.bustamante@yahoo.com,1,2
15651561,Héctor Caicedo,3246807913,hector.caicedo@protonmail.com,2,1
16761671,Olga Marín,3179241357,olga.marin@hotmail.com,1,1
17871781,Reinaldo Guzmán,3224686802,reinaldo.guzman@outlook.com,2,3
18981891,Patricia Zuluaga,3191353579,patricia.zuluaga@mail.com,1,1
19091901,Alfredo Agudelo,3257919135,alfredo.agudelo@company.com,2,4
20102010,Diana Chávez,3182464680,diana.chavez@live.com,1,2
21212120,Edison Murillo,3125797913,edison.murillo@domain.com,2,1
22322230,Tatiana Cifuentes,3168020246,tatiana.cifuentes@mail.com,1,1
23432340,Walter Aristizábal,3235798024,walter.aristizabal@gmail.com,2,1
24542450,Carolina Galvis,3157919135,carolina.galvis@yahoo.com,1,2
25652560,Elías Granada,3246808024,elias.granada@protonmail.com,2,1
26762670,Beatriz Arango,3179242468,beatriz.arango@hotmail.com,1,1
27872780,Arnulfo Saavedra,3224687913,arnulfo.saavedra@outlook.com,2,3
28982890,Verónica Perlaza,3191354680,veronica.perlaza@mail.com,1,1
29092900,Benjamín Mena,3257910246,benjamin.mena@company.com,2,4
30103010,Lorena Cadavid,3182465791,lorena.cadavid@live.com,1,2
31213120,Victorino Echeverri,3125798024,victorino.echeverri@domain.com,2,1
32323230,Gloria Salinas,3168021357,gloria.salinas@mail.com,1,1
33433340,Abelardo Piedrahita,3235799135,abelardo.piedrahita@gmail.com,2,1
34543450,Margarita Londoño,3157910246,margarita.londono@yahoo.com,1,2
35653560,Rigoberto Polanco,3246809135,rigoberto.polanco@protonmail.com,2,1
36763670,Rocio Valdivieso,3179243579,rocio.valdivieso@hotmail.com,1,1
37873780,Servando Burbano,3224688024,servando.burbano@outlook.com,2,3
38983890,Amparo Insuasty,3191355791,amparo.insuasty@mail.com,1,1
39093900,Dario de Jesús,3257911357,dario.de.jesus@company.com,2,4
40104010,Elvia Arcila,3182466802,elvia.arcila@live.com,1,2
41214120,Anibal Tobón,3125799135,anibal.tobon@domain.com,2,1
42324230,Yaneth Muñoz,3168022468,yaneth.munoz@mail.com,1,1
43434340,Rosendo Vera,3235790246,rosendo.vera@gmail.com,2,1
44544450,Pilar Quintana,3157911357,pilar.quintana@yahoo.com,1,2
45654560,Genaro Collazos,3246800246,genaro.collazos@protonmail.com,2,1
46764670,Myriam Riascos,3179244680,myriam.riascos@hotmail.com,1,1
47874780,Heriberto Solarte,3224689135,heriberto.solarte@outlook.com,2,3
48984890,Nubia Portilla,3191356802,nubia.portilla@mail.com,1,1
49094900,Adalberto Pantoja,3257912468,adalberto.pantoja@company.com,2,4
50105010,Blanca Reina,3182467913,blanca.reina@live.com,1,2
51215120,Filemón Saravia,3125790246,filemon.saravia@domain.com,2,1
52325230,Ruth Machado,3168023579,ruth.machado@mail.com,1,1
53435340,Asdrúbal Lozano,3235791357,asdrubal.lozano@gmail.com,2,1
54545450,Nohemí Barreto,3157912468,nohemi.barreto@yahoo.com,1,2
55655560,Efrain Pineda,3246801357,efrain.pineda@protonmail.com,2,1
56765670,Estela Cerón,3179245791,estela.ceron@hotmail.com,1,1
57875780,Libardo Rosero,3224680246,libardo.rosero@outlook.com,2,3
58985890,Alcira Trejos,3191357913,alcira.trejos@mail.com,1,1
59095900,Clímaco Velandia,3257913579,climaco.velandia@company.com,2,4
60106010,Janeth Sanclemente,3182468024,janeth.sanclemente@live.com,1,2
61216120,Eligio Arévalo,3125791357,eligio.arevalo@domain.com,2,1
62326230,Yolanda Montaño,3168024680,yolanda.montano@mail.com,1,1
63436340,Napoleón Bueno,3235792468,napoleon.bueno@gmail.com,2,1
64546450,Leonor Cáceres,3157913579,leonor.caceres@yahoo.com,1,2
65656560,Ismael Chaparro,3246802468,ismael.chaparro@protonmail.com,2,1
66766670,Matilde Tafur,3179246802,matilde.tafur@hotmail.com,1,1
67876780,Onesimo Melo,3224681357,onesimo.melo@outlook.com,2,3
68986890,Doris Cañas,3191358024,doris.canas@mail.com,1,1
69096900,Prospero Guevara,3257914680,prospero.guevara@company.com,2,4
70107010,Elsa Perlaza,3182469135,elsa.perlaza@live.com,1,2
71217120,Eusebio Zambrano,3125792468,eusebio.zambrano@domain.com,2,1
72327230,Rosalba Velasco,3168025791,rosalba.velasco@mail.com,1,1
73437340,Agapito Montenegro,3235793579,agapito.montenegro@gmail.com,2,1
74547450,Nidia Alvarado,3157914680,nidia.alvarado@yahoo.com,1,2
75657560,Laureano Carvajal,3246803579,laureano.carvajal@protonmail.com,2,1
76767670,Hortencia Gálvez,3179247913,hortencia.galvez@hotmail.com,1,1
77877780,Crisanto Jojoa,3224682468,crisanto.jojoa@outlook.com,2,3
78987890,Belky Rosas,3191359135,belky.rosas@mail.com,1,1
79097900,Teódulo Mayorga,3257915791,teodulo.mayorga@company.com,2,4
80108010,Nelly Benítez,3182460246,nelly.benitez@live.com,1,2
81218120,Otoniel Escalante,3125793579,otoniel.escalante@domain.com,2,1
82328230,Mariluz Anaya,3168026802,mariluz.anaya@mail.com,1,1
83438340,Adelmo Rengifo,3235794680,adelmo.rengifo@gmail.com,2,1
84548450,Jovita Casas,3157915791,jovita.casas@yahoo.com,1,2
85658560,Urbano Velando,3246804680,urbano.velando@protonmail.com,2,1
86768670,Graciela de la Torre,3179248024,graciela.delatorre@hotmail.com,1,1
87878780,Melquíades Angulo,3224683579,melquiades.angulo@outlook.com,2,3
88988890,Edelmira Páez,3191350246,edelmira.paez@mail.com,1,1
89098900,Narciso Lerma,3257916802,narciso.lerma@company.com,2,4
90109010,Virgelina Barrios,3182461357,virgelina.barrios@live.com,1,2
91219120,Ananías Henao,3125794680,ananias.henao@domain.com,2,1
92329230,Ilia Mesa,3168027913,ilia.mesa@mail.com,1,1
93439340,Eliseo Corrales,3235795791,eliseo.corrales@gmail.com,2,1
94549450,Noelia Campo,3157916802,noelia.campo@yahoo.com,1,2
95659560,Justo Olaya,3246805791,justo.olaya@protonmail.com,2,1
96769670,Genoveva Arcos,3179249135,genoveva.arcos@hotmail.com,1,1
97879780,Leandro Ordóñez,3224684680,leandro.ordonez@outlook.com,2,3
98989890,Alba Lucía Santacruz,3191351357,alba.santacruz@mail.com,1,1
99099900,Sixto Tapias,3257917913,sixto.tapias@company.com,2,4
